Player,Salary
Ish Smith,"$5,853,659"
Marco Belinelli,"$5,846,154"
Jarrett Culver,"$5,813,640"
Jonathan Isaac,"$5,806,440"
Rodney Hood,"$5,718,000"
Mohamed Bamba,"$5,697,600"
Timofey Mozgov,"$5,573,333"
Trey Lyles,"$5,500,000"
Deron Williams,"$5,474,787"
Aron Baynes,"$5,453,280"
Kris Dunn,"$5,348,007"
Josh Smith,"$5,331,729"
Coby White,"$5,307,120"
Lauri Markkanen,"$5,300,400"
Ryan Anderson,"$5,214,583"
Wendell Carter,"$5,201,400"
Pau Gasol,"$5,100,000"
Daniel Theis,"$5,000,000"
Luol Deng,"$4,990,000"
Jaxson Hayes,"$4,862,040"
Buddy Hield,"$4,861,208"
Frank Ntilikina,"$4,855,800"
Ed Davis,"$4,767,000"
Richaun Holmes,"$4,767,000"
Frank Kaminsky,"$4,767,000"
Mike Scott,"$4,767,000"
Avery Bradley,"$4,767,000"
Robin Lopez,"$4,767,000"
JaMychal Green,"$4,767,000"
Justin Holiday,"$4,767,000"
Garrett Temple,"$4,767,000"
Enes Kanter,"$4,767,000"
Collin Sexton,"$4,764,960"
Rodney McGruder,"$4,629,630"
Rui Hachimura,"$4,469,160"
Kevon Looney,"$4,464,286"
Dennis Smith,"$4,463,640"
Jamal Murray,"$4,444,746"
Kevin Knox,"$4,380,120"
Cam Reddish,"$4,245,720"
Zach Collins,"$4,240,200"
Mikal Bridges,"$4,161,000"
Alex Len,"$4,160,000"
Cameron Johnson,"$4,033,440"
Malik Monk,"$4,028,400"
Dorian Finney-Smith,"$4,000,000"
JaVale McGee,"$4,000,000"
Patrick McCaw,"$4,000,000"
Reggie Bullock,"$4,000,000"
Shai Gilgeous-Alexander,"$3,952,920"
Nicolò Melli,"$3,902,439"
P.J. Washington,"$3,831,840"
Luke Kennard,"$3,827,160"
Miles Bridges,"$3,755,400"
Jakob Poeltl,"$3,754,886"
Tyler Herro,"$3,640,200"
Donovan Mitchell,"$3,635,760"
Stanley Johnson,"$3,623,000"
Jake Layman,"$3,581,986"
Thon Maker,"$3,569,643"
Jerome Robinson,"$3,567,720"
Allonzo Trier,"$3,551,100"
Danuel House,"$3,540,000"
Domantas Sabonis,"$3,529,555"
Mirza Teletović,"$3,500,000"
Boban Marjanović,"$3,500,000"
T.J. McConnell,"$3,500,000"
DeMarcus Cousins,"$3,500,000"
Taurean Waller-Prince,"$3,481,986"
Dario Šarić,"$3,481,986"
Romeo Langford,"$3,458,400"
Bam Adebayo,"$3,454,080"
Kyle Korver,"$3,440,000"
Michael Porter,"$3,389,400"
Denzel Valentine,"$3,377,569"
Juan Hernangómez,"$3,321,030"
Sekou Doumbouya,"$3,285,120"
Justin Jackson,"$3,280,920"
Troy Brown,"$3,219,480"
Jon Leuer,"$3,169,348"
Yogi Ferrell,"$3,150,000"
Guerschon Yabusele,"$3,117,240"
Zhaire Smith,"$3,058,800"
Dwight Howard,"$3,039,097"
Khem Birch,"$3,000,000"
Ryan Arcidiacono,"$3,000,000"
Quinn Cook,"$3,000,000"
Ömer Aşık,"$3,000,000"
Nickeil Alexander-Walker,"$2,964,840"
D.J. Wilson,"$2,961,120"
Cedi Osman,"$2,907,143"
Donte DiVincenzo,"$2,905,800"
Bryn Forbes,"$2,875,000"
Andrew Nicholson,"$2,844,429"
Goga Bitadze,"$2,816,760"
T.J. Leaf,"$2,813,280"
Lonnie Walker,"$2,760,480"
Alex Caruso,"$2,750,000"
Malik Beasley,"$2,731,714"
Luka Šamanić,"$2,689,920"
John Collins,"$2,686,560"
Kevin Huerter,"$2,636,280"
Caris LeVert,"$2,625,718"
Marko Guduric,"$2,625,000"
DeAndre' Bembry,"$2,603,982"
Matisse Thybulle,"$2,582,160"
Harry Giles,"$2,578,800"
Jeff Green,"$2,564,753"
Pau Gasol,"$2,564,753"
Wesley Matthews,"$2,564,753"
Kyle Korver,"$2,564,753"
Udonis Haslem,"$2,564,753"
Jared Dudley,"$2,564,753"
Rajon Rondo,"$2,564,753"
Dwight Howard,"$2,564,753"
Thabo Sefolosha,"$2,564,753"
Tyson Chandler,"$2,564,753"
Gerald Green,"$2,564,753"
J.J. Barea,"$2,564,753"
Wilson Chandler,"$2,564,753"
Nenê Hilário,"$2,564,753"
Vince Carter,"$2,564,753"
Josh Okogie,"$2,530,680"
Vincent Poirier,"$2,505,793"
Rondae Hollis-Jefferson,"$2,500,000"
Brandon Clarke,"$2,478,840"
Terrance Ferguson,"$2,475,840"
Grayson Allen,"$2,429,400"
Anthony Tolliver,"$2,419,852"
Grant Williams,"$2,379,840"
Jarrett Allen,"$2,376,840"
Pascal Siakam,"$2,351,839"
Skal Labissière,"$2,338,847"
Chandler Hutchison,"$2,332,320"
Patrick Patterson,"$2,331,593"
Dejounte Murray,"$2,321,735"
Alec Burks,"$2,320,044"
Isaiah Thomas,"$2,320,044"
Damian Jones,"$2,305,057"
Darius Bazley,"$2,284,800"
OG Anunoby,"$2,281,800"
Ante Žižić,"$2,281,800"
Monta Ellis,"$2,245,400"
Markieff Morris,"$2,241,808"
Aaron Holiday,"$2,239,200"
Luke Kornet,"$2,195,122"
Ty Jerome,"$2,193,480"
Willie Cauley-Stein,"$2,177,483"
Austin Rivers,"$2,174,318"
Carmelo Anthony,"$2,159,029"
Anfernee Simons,"$2,149,560"
